date,event,bout,time_format,weightclass,stance_a,stance_b,fighter_a,fighter_b,winner,method,fighter_a_id,fighter_b_id,fighter_a_url,fighter_b_url,fight_time_min,dob_a,dob_b,reach_a,reach_b,height_a,height_b,sig_str_landed_a,sig_str_landed_b,sig_str_absorbed_a,sig_str_absorbed_b,td_landed_a,td_landed_b,td_attempted_a,td_attempted_b
1994-03-11,UFC 2: No Way Out,Royce Gracie vs. Patrick Smith,No Time Limit,UFC 2 Tournament Title Bout,Southpaw,Orthodox,Royce Gracie,Patrick Smith,A,KO/TKO,429e7d3725852ce9,46c8ec317aff28ac,http://ufcstats.com/fighter-details/429e7d3725852ce9,http://ufcstats.com/fighter-details/46c8ec317aff28ac,1.2833333333333332,1966-12-12,1963-08-28,,,73.0,74.0,4.0,1.0,1.0,4.0,1.0,0.0,2.0,0.0
1994-03-11,UFC 2: No Way Out,Royce Gracie vs. Remco Pardoel,No Time Limit,Open Weight Bout,Southpaw,Southpaw,Royce Gracie,Remco Pardoel,A,Submission,429e7d3725852ce9,749685d24e2cac50,http://ufcstats.com/fighter-details/429e7d3725852ce9,http://ufcstats.com/fighter-details/749685d24e2cac50,1.5166666666666666,1966-12-12,,,,73.0,75.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
1994-03-11,UFC 2: No Way Out,Patrick Smith vs. Johnny Rhodes,No Time Limit,Open Weight Bout,Orthodox,Orthodox,Patrick Smith,Johnny Rhodes,A,Submission,46c8ec317aff28ac,319fa1bd3176bded,http://ufcstats.com/fighter-details/46c8ec317aff28ac,http://ufcstats.com/fighter-details/319fa1bd3176bded,1.1166666666666667,1963-08-28,,,,74.0,72.0,5.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0
1994-03-11,UFC 2: No Way Out,Royce Gracie vs. Jason DeLucia,No Time Limit,Open Weight Bout,Southpaw,Southpaw,Royce Gracie,Jason DeLucia,A,Submission,429e7d3725852ce9,6ceff86fae4f6b3b,http://ufcstats.com/fighter-details/429e7d3725852ce9,http://ufcstats.com/fighter-details/6ceff86fae4f6b3b,1.1166666666666667,1966-12-12,1969-07-24,,,73.0,71.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1994-03-11,UFC 2: No Way Out,Remco Pardoel vs. Orlando Wiet,No Time Limit,Open Weight Bout,Southpaw,Southpaw,Remco Pardoel,Orlando Wiet,A,KO/TKO,749685d24e2cac50,a6c2f5381d575920,http://ufcstats.com/fighter-details/749685d24e2cac50,http://ufcstats.com/fighter-details/a6c2f5381d575920,1.4833333333333334,,,,,75.0,70.0,7.0,1.0,1.0,7.0,1.0,0.0,1.0,0.0
1994-03-11,UFC 2: No Way Out,Johnny Rhodes vs. Fred Ettish,No Time Limit,Open Weight Bout,Orthodox,Southpaw,Johnny Rhodes,Fred Ettish,A,Submission,319fa1bd3176bded,8d5daf67983b65ba,http://ufcstats.com/fighter-details/319fa1bd3176bded,http://ufcstats.com/fighter-details/8d5daf67983b65ba,3.1166666666666667,,,,,72.0,72.0,13.0,4.0,4.0,13.0,0.0,0.0,0.0,0.0
1994-03-11,UFC 2: No Way Out,Patrick Smith vs. Scott Morris,No Time Limit,Open Weight Bout,Orthodox,Orthodox,Patrick Smith,Scott Morris,A,KO/TKO,46c8ec317aff28ac,be9d259be012e8a4,http://ufcstats.com/fighter-details/46c8ec317aff28ac,http://ufcstats.com/fighter-details/be9d259be012e8a4,0.5,1963-08-28,,,,74.0,70.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0
1994-03-11,UFC 2: No Way Out,Royce Gracie vs. Minoki Ichihara,No Time Limit,Open Weight Bout,Southpaw,Orthodox,Royce Gracie,Minoki Ichihara,A,Submission,429e7d3725852ce9,4565d435005319c0,http://ufcstats.com/fighter-details/429e7d3725852ce9,http://ufcstats.com/fighter-details/4565d435005319c0,5.133333333333334,1966-12-12,,,,73.0,67.0,2.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0
1994-03-11,UFC 2: No Way Out,Jason DeLucia vs. Scott Baker,No Time Limit,Open Weight Bout,Southpaw,,Jason DeLucia,Scott Baker,A,Submission,6ceff86fae4f6b3b,7d5b12de1625984e,http://ufcstats.com/fighter-details/6ceff86fae4f6b3b,http://ufcstats.com/fighter-details/7d5b12de1625984e,6.683333333333334,1969-07-24,,,,71.0,72.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0
1994-03-11,UFC 2: No Way Out,Remco Pardoel vs. Alberta Cerra Leon,No Time Limit,Open Weight Bout,Southpaw,,Remco Pardoel,Alberta Cerra Leon,A,Submission,749685d24e2cac50,6e02c318762f52f1,http://ufcstats.com/fighter-details/749685d24e2cac50,http://ufcstats.com/fighter-details/6e02c318762f52f1,9.85,,,,,75.0,68.0,4.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0
1994-03-11,UFC 2: No Way Out,Orlando Wiet vs. Robert Lucarelli,No Time Limit,Open Weight Bout,Southpaw,,Orlando Wiet,Robert Lucarelli,A,KO/TKO,a6c2f5381d575920,96087e90d900f0ef,http://ufcstats.com/fighter-details/a6c2f5381d575920,http://ufcstats.com/fighter-details/96087e90d900f0ef,2.8333333333333335,,,,,70.0,74.0,8.0,2.0,2.0,8.0,0.0,1.0,0.0,1.0
1994-03-11,UFC 2: No Way Out,Frank Hamaker vs. Thaddeus Luster,No Time Limit,Open Weight Bout,,,Frank Hamaker,Thaddeus Luster,A,Submission,c3c23c99477c041b,505934897b8b4824,http://ufcstats.com/fighter-details/c3c23c99477c041b,http://ufcstats.com/fighter-details/505934897b8b4824,4.866666666666667,,,,,,75.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0
1994-03-11,UFC 2: No Way Out,Johnny Rhodes vs. David Levicki,No Time Limit,Open Weight Bout,Orthodox,,Johnny Rhodes,David Levicki,A,KO/TKO,319fa1bd3176bded,49590e0508b2c19f,http://ufcstats.com/fighter-details/319fa1bd3176bded,http://ufcstats.com/fighter-details/49590e0508b2c19f,12.216666666666667,,,,,72.0,77.0,11.0,4.0,4.0,11.0,1.0,0.0,1.0,0.0
1994-03-11,UFC 2: No Way Out,Patrick Smith vs. Ray Wizard,No Time Limit,Open Weight Bout,Orthodox,,Patrick Smith,Ray Wizard,A,Submission,46c8ec317aff28ac,ea0ad155451ed1f5,http://ufcstats.com/fighter-details/46c8ec317aff28ac,http://ufcstats.com/fighter-details/ea0ad155451ed1f5,0.9666666666666667,1963-08-28,,,,74.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
1994-03-11,UFC 2: No Way Out,Scott Morris vs. Sean Daugherty,No Time Limit,Open Weight Bout,Orthodox,,Scott Morris,Sean Daugherty,A,Submission,be9d259be012e8a4,a683f9ddb70aa4bd,http://ufcstats.com/fighter-details/be9d259be012e8a4,http://ufcstats.com/fighter-details/a683f9ddb70aa4bd,0.3333333333333333,,1975-12-04,,,70.0,72.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1994-09-09,UFC 3: The American Dream,Steve Jennum vs. Harold Howard,No Time Limit,UFC 3 Tournament Title Bout,Orthodox,Orthodox,Steve Jennum,Harold Howard,A,KO/TKO,ad047e3073a775f3,a2b06ca02bca14c0,http://ufcstats.com/fighter-details/ad047e3073a775f3,http://ufcstats.com/fighter-details/a2b06ca02bca14c0,1.45,,,,,70.0,74.0,6.0,2.0,2.0,6.0,1.0,0.0,1.0,0.0
1994-09-09,UFC 3: The American Dream,Ken Shamrock vs. Felix Lee Mitchell,No Time Limit,Open Weight Bout,Orthodox,Orthodox,Ken Shamrock,Felix Lee Mitchell,A,Submission,63b65af1c5cb02cb,6cbb7661c3258617,http://ufcstats.com/fighter-details/63b65af1c5cb02cb,http://ufcstats.com/fighter-details/6cbb7661c3258617,4.566666666666666,1964-02-11,,72.0,,73.0,,4.0,3.0,3.0,4.0,1.0,0.0,2.0,0.0
